perc_pixels,cutoff_sol,carbon_strg,prop_carbon_strg
0.01,0.9900007247924805,15815919995.763327,0.009570861217311008
0.02,0.9800004959106445,32196812999.493027,0.019483610750459564
0.03,0.9700012803077698,48826666740.93638,0.029547016626701346
0.04,0.9600010514259338,65590867087.440994,0.0396917211382677
0.05,0.9500008225440979,82692932962.36699,0.050040881924492804
0.060000000000000005,0.940000593662262,100017890905.3866,0.06052492383370884
0.06999999999999999,0.9300013184547424,117020880688.90924,0.07081412961756739
0.08,0.9200010895729065,132750339165.28735,0.08033266942689864
0.09,0.9100009202957153,147988905299.03976,0.0895541501663073
0.09999999999999999,0.9000006914138794,165067598552.23447,0.09988916722147313
0.11,0.8900014162063599,182674490852.03055,0.11054381916170997
0.12,0.8800011873245239,200171894664.27933,0.12113221513204499
0.13,0.870000958442688,217070118393.344,0.13135802268375701
0.14,0.860000729560852,233758314060.30893,0.14145673364958367
0.15000000000000002,0.8500005006790161,250590697694.2166,0.1516426986620409
0.16,0.8400012850761414,267311101256.44434,0.1617608999449496
0.17,0.8300010561943054,284045063557.6558,0.17188730617636147
0.18000000000000002,0.8200008273124695,300587597066.7002,0.18189787100219468
0.19,0.8100005984306335,317407321458.29663,0.19207617538844046
0.2,0.800001323223114,334116739987.66675,0.20218772917787578
0.21000000000000002,0.7900010943412781,350769626229.4892,0.21226507296381078
0.22,0.7800009250640869,367403761534.0103,0.22233106978929998
0.23,0.770000696182251,384141981034.3436,0.2324600522263313
0.24000000000000002,0.7600014209747314,400731681216.78174,0.2424991595388017
0.25,0.7500011920928955,417573734810.99365,0.2526909762404476
0.26,0.7400009632110596,434220493908.9075,0.2627646122405552
0.27,0.7300007343292236,450973466984.147,0.2729025226702625
0.28,0.7200005650520325,467257320595.5397,0.2827565496910995
0.29000000000000004,0.7100012898445129,484159866127.7896,0.2929849725429967
0.3,0.700001060962677,500683708258.4156,0.3029842264499046
0.31,0.6900008320808411,517203073733.9367,0.3129807713493858
0.32,0.6800006031990051,533590466007.0257,0.32289745385671914
0.33,0.6700013279914856,550156351778.1449,0.3329221500931493
0.34,0.6600011587142944,566691450902.7241,0.34292821606833257
0.35000000000000003,0.6500009298324585,583206378140.3687,0.35292207520822616
0.36000000000000004,0.6400007009506226,599798553169.2672,0.36296268015169203
0.37,0.630001425743103,616370394316.5929,0.37299098023027516
0.38,0.6200011968612671,633085551236.612,0.3831060065550121
0.39,0.6100009679794312,649840003525.287,0.39324481211737716
0.4,0.6000007390975952,666530847002.499,0.40334512538167344
0.41000000000000003,0.590000569820404,683385378175.3416,0.4135444927773943
0.42000000000000004,0.5800012946128845,700206951232.7225,0.423723915867052
0.43,0.5700010657310486,717037515818.5571,0.43390878009898803
0.44,0.5600008368492126,733790319793.9968,0.44404658819947795
0.45,0.5500006079673767,750582424251.8599,0.4542081786321463
0.46,0.5400013327598572,767519105509.878,0.46445725841035373
0.47000000000000003,0.530001163482666,784395056759.2515,0.4746695879720312
0.48000000000000004,0.5200009346008301,801377719290.5123,0.4849464929026748
0.49,0.5100007057189941,818154871721.7544,0.49509903525140336
0.5,0.5000014305114746,834802867077.9414,0.5051734193620454
0.51,0.49000123143196106,851289121702.9536,0.5151499275292283
0.52,0.4800010025501251,867655832783.0037,0.5250540949992804
0.53,0.4700007736682892,884016959942.0052,0.5349548834099153
